player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,agent_name,image_url,url,current_club_domestic_competition_id,current_club_name
5936,Ivan,Pelizzoli,Ivan Pelizzoli,2012,2921,ivan-pelizzoli,Italy,Bergamo,Italy,1980-11-18,Goalkeeper,Goalkeeper,right,197.0,,8000000.0,,,https://img.a.transfermarkt.technology/portrait/header/5936-1488542455.jpg?lm=1,https://www.transfermarkt.co.uk/ivan-pelizzoli/profil/spieler/5936,IT1,Delfino Pescara 1936
5974,,Matuzalém,Matuzalém,2015,276,matuzalem,Brazil,Natal,Brazil,1980-06-10,Defensive Midfield,Midfield,left,178.0,,16000000.0,,,https://img.a.transfermarkt.technology/portrait/header/5974-1417078210.jpg?lm=1,https://www.transfermarkt.co.uk/matuzalem/profil/spieler/5974,IT1,Hellas Verona
6020,Francesco,Tavano,Francesco Tavano,2014,749,francesco-tavano,Italy,Caserta,Italy,1979-03-02,Centre-Forward,Attack,right,173.0,,8500000.0,,Gea World,https://img.a.transfermarkt.technology/portrait/header/6020-1609094411.jpg?lm=1,https://www.transfermarkt.co.uk/francesco-tavano/profil/spieler/6020,IT1,FC Empoli
6065,Martin,Jiranek,Martin Jiranek,2013,3691,martin-jiranek,CSSR,Praha,Czech Republic,1979-05-25,Centre-Back,Defender,right,190.0,,5200000.0,,,https://img.a.transfermarkt.technology/portrait/header/6065-1636111847.png?lm=1,https://www.transfermarkt.co.uk/martin-jiranek/profil/spieler/6065,RU1,Tom Tomsk
6150,Fabricio,Coloccini,Fabricio Coloccini,2015,762,fabricio-coloccini,Argentina,Córdoba,Argentina,1982-01-22,Centre-Back,Defender,right,184.0,,10000000.0,,Marcelo Lombilla,https://img.a.transfermarkt.technology/portrait/header/6150-1637344797.JPG?lm=1,https://www.transfermarkt.co.uk/fabricio-coloccini/profil/spieler/6150,GB1,Newcastle United
6288,Mario,Gómez,Mario Gómez,2018,79,mario-gomez,Germany,Riedlingen,Germany,1985-07-10,Centre-Forward,Attack,right,189.0,,42000000.0,,fair-sport GmbH,https://img.a.transfermarkt.technology/portrait/header/6288-1683668325.jpg?lm=1,https://www.transfermarkt.co.uk/mario-gomez/profil/spieler/6288,L1,VfB Stuttgart
6717,Giuseppe,Colucci,Giuseppe Colucci,2012,2921,giuseppe-colucci,Italy,San Giovanni Rotondo,Italy,1980-08-24,Central Midfield,Midfield,right,180.0,,3250000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_6717_1386_2013_09_21_1.jpg?lm=1,https://www.transfermarkt.co.uk/giuseppe-colucci/profil/spieler/6717,IT1,Delfino Pescara 1936
7072,Mustafa,Keceli,Mustafa Keceli,2012,3216,mustafa-keceli,Turkey,Ankara,Turkey,1978-09-15,Left-Back,Defender,left,176.0,,1500000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_7072_20_2010_1.jpg?lm=1,https://www.transfermarkt.co.uk/mustafa-keceli/profil/spieler/7072,TR1,Mersin Talimyurdu SK
7501,Juan Carlos,Valerón,Juan Carlos Valerón,2015,472,juan-carlos-valeron,Spain,Arguineguín,Spain,1975-06-17,Attacking Midfield,Midfield,right,186.0,,20000000.0,,,https://img.a.transfermarkt.technology/portrait/header/7501-1447321858.jpg?lm=1,https://www.transfermarkt.co.uk/juan-carlos-valeron/profil/spieler/7501,ES1,UD Las Palmas
7739,Patxi,Puñal,Patxi Puñal,2013,331,patxi-punal,Spain,Pamplona,Spain,1975-09-06,Defensive Midfield,Midfield,right,179.0,,2400000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_7739_331_2013_10_17_1.jpg?lm=1,https://www.transfermarkt.co.uk/patxi-punal/profil/spieler/7739,ES1,CA Osasuna
8187,Juanmi,Callejón,Juanmi Callejón,2012,2672,juanmi-callejon,Spain,Motril,Spain,1987-02-11,Left Winger,Attack,right,180.0,200000.0,1000000.0,2024-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/8187-1484588810.jpg?lm=1,https://www.transfermarkt.co.uk/juanmi-callejon/profil/spieler/8187,GR1,APO Levadiakos
8490,Hakan,Hacibektasoglu,Hakan Hacibektasoglu,2013,126,hakan-hacibektasoglu,Turkey,Istanbul,Turkey,1984-04-23,Defensive Midfield,Midfield,both,181.0,,400000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_8490_126_2013_09_13_1.jpg?lm=1,https://www.transfermarkt.co.uk/hakan-hacibektasoglu/profil/spieler/8490,TR1,Caykur Rizespor
8540,Mathieu,Valverde,Mathieu Valverde,2012,1041,mathieu-valverde,France,Montreuil,France,1983-05-14,Goalkeeper,Goalkeeper,right,185.0,,1600000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_8540_1041_2010_1.jpg?lm=1,https://www.transfermarkt.co.uk/mathieu-valverde/profil/spieler/8540,FR1,Olympique Lyon
9239,Sébastien,Grax,Sébastien Grax,2012,1095,sebastien-grax,France,Le Creusot,France,1984-06-23,Centre-Forward,Attack,right,180.0,,3000000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_9239_1095_2012_2.jpg?lm=1,https://www.transfermarkt.co.uk/sebastien-grax/profil/spieler/9239,FR1,ESTAC Troyes
9493,Mark,Fotheringham,Mark Fotheringham,2012,2759,mark-fotheringham,Scotland,Dundee,Scotland,1983-10-22,Central Midfield,Midfield,both,174.0,,500000.0,,Soccermanagement GB,https://img.a.transfermarkt.technology/portrait/header/9493-1481649771.jpg?lm=1,https://www.transfermarkt.co.uk/mark-fotheringham/profil/spieler/9493,SC1,Ross County FC
9697,Pavel,Krmas,Pavel Krmas,2014,60,pavel-krmas,CSSR,Broumov,Czech Republic,1980-03-03,Centre-Back,Defender,both,193.0,,2250000.0,,SCORE,https://img.a.transfermarkt.technology/portrait/header/9697-1408098193.jpg?lm=1,https://www.transfermarkt.co.uk/pavel-krmas/profil/spieler/9697,L1,SC Freiburg
9819,Ricardo,Costa,Ricardo Costa,2019,2503,ricardo-costa,Portugal,Vila Nova de Gaia,Portugal,1981-05-16,Centre-Back,Defender,right,184.0,,6000000.0,,OFSPORTS,https://img.a.transfermarkt.technology/portrait/header/9819-1595427241.jpg?lm=1,https://www.transfermarkt.co.uk/ricardo-costa/profil/spieler/9819,PO1,Boavista FC
9988,Michael,Dawson,Michael Dawson,2016,3008,michael-dawson,England,Northallerton,England,1983-11-18,Centre-Back,Defender,right,189.0,,12000000.0,,,https://img.a.transfermarkt.technology/portrait/header/9988-1541148674.JPG?lm=1,https://www.transfermarkt.co.uk/michael-dawson/profil/spieler/9988,GB1,Hull City
13069,Kristof,Lardenoit,Kristof Lardenoit,2012,28643,kristof-lardenoit,Belgium,Sint-Gillis-Waas,Belgium,1983-07-08,Centre-Back,Defender,right,185.0,,500000.0,,,https://img.a.transfermarkt.technology/portrait/header/13069-1617099845.jpg?lm=1,https://www.transfermarkt.co.uk/kristof-lardenoit/profil/spieler/13069,BE1,SK Beveren
13309,Rachid,Farssi,Rachid Farssi,2014,204,rachid-farssi,Belgium,Chênée,Belgium,1985-01-15,Left Midfield,Midfield,left,180.0,,900000.0,,,https://img.a.transfermarkt.technology/portrait/header/13309-1618410325.jpg?lm=1,https://www.transfermarkt.co.uk/rachid-farssi/profil/spieler/13309,BE1,Lierse SK (- 2018)
13389,Didier,Zokora,Didier Zokora,2014,19771,didier-zokora,Cote d'Ivoire,Abidjan,Cote d'Ivoire,1980-12-14,Defensive Midfield,Midfield,right,180.0,,16000000.0,,GBL,https://img.a.transfermarkt.technology/portrait/header/13389-1408536889.jpg?lm=1,https://www.transfermarkt.co.uk/didier-zokora/profil/spieler/13389,TR1,Akhisarspor
13412,Grant,Holt,Grant Holt,2013,405,grant-holt,England,Carlisle,England,1981-04-12,Centre-Forward,Attack,right,183.0,,4000000.0,,Full Contact,https://img.a.transfermarkt.technology/portrait/header/s_13412_1123_2013_03_06_1.jpg?lm=1,https://www.transfermarkt.co.uk/grant-holt/profil/spieler/13412,GB1,Aston Villa
13490,Chris,Turner,Chris Turner,2015,2999,chris-turner,Northern Ireland,Ballymoney,Northern Ireland,1987-01-03,Left Midfield,Midfield,right,178.0,,275000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_13490_3258_2010_3.jpg?lm=1,https://www.transfermarkt.co.uk/chris-turner/profil/spieler/13490,SC1,Hamilton Academical FC
13849,Anestis,Agritis,Anestis Agritis,2014,28956,anestis-agritis,Greece,Mytilini,Greece,1981-04-16,Centre-Forward,Attack,,,,2000000.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/anestis-agritis/profil/spieler/13849,GR1,AEL Kalloni
13952,,Liedson,Liedson,2012,720,liedson,Brazil,Cairú,Portugal,1977-12-17,Centre-Forward,Attack,right,175.0,,15000000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_13952_614_2012_2.jpg?lm=1,https://www.transfermarkt.co.uk/liedson/profil/spieler/13952,PO1,FC Porto
14069,Mamady,Sidibé,Mamady Sidibé,2012,512,mamady-sidibe,Mali,Bamako,Mali,1979-12-18,Centre-Forward,Attack,right,193.0,,2500000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_14069_512_2009_1.jpg?lm=1,https://www.transfermarkt.co.uk/mamady-sidibe/profil/spieler/14069,GB1,Stoke City
14137,,Briguel,Briguel,2015,1301,briguel,Portugal,Funchal,Portugal,1979-03-08,Right-Back,Defender,right,174.0,,800000.0,,,https://img.a.transfermarkt.technology/portrait/header/14137-1446565680.jpg?lm=1,https://www.transfermarkt.co.uk/briguel/profil/spieler/14137,PO1,CS Marítimo
14221,Aaron,Lennon,Aaron Lennon,2021,1132,aaron-lennon,England,Chapeltown,England,1987-04-16,Right Winger,Attack,right,165.0,,21000000.0,,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/14221-1668518582.jpg?lm=1,https://www.transfermarkt.co.uk/aaron-lennon/profil/spieler/14221,GB1,Burnley FC
14282,,Danielson,Danielson,2015,979,danielson,Brazil,São Paulo,Brazil,1981-01-09,Centre-Back,Defender,right,186.0,,1500000.0,,,https://img.a.transfermarkt.technology/portrait/header/14282-1548232491.jpg?lm=1,https://www.transfermarkt.co.uk/danielson/profil/spieler/14282,PO1,Moreirense FC
14514,Miguel,Garcia,Miguel Garcia,2012,2323,miguel-garcia,Portugal,Moura,Portugal,1983-02-04,Right-Back,Defender,right,179.0,,2400000.0,,Paulo Barbosa,https://img.a.transfermarkt.technology/portrait/header/s_14514_1075_2010_2.jpg?lm=1,https://www.transfermarkt.co.uk/miguel-garcia/profil/spieler/14514,TR1,Orduspor
14542,Zvonimir,Vukic,Zvonimir Vukic,2014,2079,zvonimir-vukic,Jugoslawien (SFR),Zrenjanin,Serbia,1979-07-19,Attacking Midfield,Midfield,right,182.0,,4500000.0,,,https://img.a.transfermarkt.technology/portrait/header/14542-1671118365.png?lm=1,https://www.transfermarkt.co.uk/zvonimir-vukic/profil/spieler/14542,GR1,Veria NPS
14735,John,Sutton,John Sutton,2015,2578,john-sutton,England,Norwich,England,1983-12-26,Centre-Forward,Attack,right,186.0,,850000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_14735_987_2014_04_08_1.jpg?lm=1,https://www.transfermarkt.co.uk/john-sutton/profil/spieler/14735,SC1,St. Johnstone FC
14939,Adrian,Pukanych,Adrian Pukanych,2013,6996,adrian-pukanych,UdSSR,"Vynogradiv, Zakarpattya Oblast",Ukraine,1983-06-22,Central Midfield,Midfield,both,180.0,,1000000.0,,,https://img.a.transfermarkt.technology/portrait/header/14939-1642084752.jpeg?lm=1,https://www.transfermarkt.co.uk/adrian-pukanych/profil/spieler/14939,UKR1,Goverla Uzhgorod (- 2016)
15049,Thomas,Hansen,Thomas Hansen,2015,5818,thomas-hansen,,,Denmark,1983-01-18,Centre-Back,Defender,right,189.0,,500000.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/thomas-hansen/profil/spieler/15049,DK1,Hobro IK
15055,Martin,Retov,Martin Retov,2012,2414,martin-retov,Denmark,Rødovre,Denmark,1980-05-05,Central Midfield,Midfield,right,178.0,,2000000.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/martin-retov/profil/spieler/15055,DK1,AC Horsens
15163,Andy,Barrowman,Andy Barrowman,2012,511,andy-barrowman,Scotland,Wishaw,Scotland,1984-11-27,Centre-Forward,Attack,right,183.0,,300000.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/andy-barrowman/profil/spieler/15163,SC1,Dundee FC
15486,Aristide,Bancé,Aristide Bancé,2013,167,aristide-bance,Cote d'Ivoire,Abidjan,Burkina Faso,1984-09-19,Centre-Forward,Attack,right,193.0,,5500000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_15486_167_2012_2.jpg?lm=1,https://www.transfermarkt.co.uk/aristide-bance/profil/spieler/15486,L1,FC Augsburg
15676,Zydrunas,Karcemarskas,Zydrunas Karcemarskas,2017,2944,zydrunas-karcemarskas,UdSSR,Alytus,Lithuania,1983-05-24,Goalkeeper,Goalkeeper,right,189.0,,3200000.0,,MV Team,https://img.a.transfermarkt.technology/portrait/header/15676-1533892407.jpg?lm=1,https://www.transfermarkt.co.uk/zydrunas-karcemarskas/profil/spieler/15676,TR1,Ankaraspor
15803,Jonan,García,Jonan García,2013,28956,jonan-garcia,Spain,Bilbao,Spain,1983-01-08,Attacking Midfield,Midfield,right,171.0,,850000.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/jonan-garcia/profil/spieler/15803,GR1,AEL Kalloni
15817,Patrick,Deman,Patrick Deman,2014,601,patrick-deman,Belgium,Marke,Belgium,1968-07-31,Goalkeeper,Goalkeeper,,184.0,,,,,https://img.a.transfermarkt.technology/portrait/header/15817-1594807244.jpg?lm=1,https://www.transfermarkt.co.uk/patrick-deman/profil/spieler/15817,BE1,KV Kortrijk
16535,Georgios,Fotakis,Georgios Fotakis,2015,7185,georgios-fotakis,Greece,Kalamata,Greece,1981-10-29,Central Midfield,Midfield,right,177.0,,3250000.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/georgios-fotakis/profil/spieler/16535,GR1,Panthrakikos Komotini
16597,Christos,Karypidis,Christos Karypidis,2018,3999,christos-karypidis,Greece,Thessaloniki,Greece,1982-12-02,Centre-Back,Defender,right,183.0,,2000000.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/christos-karypidis/profil/spieler/16597,GR1,PAS Lamia 1964
16828,Alessandro,Potenza,Alessandro Potenza,2012,1627,alessandro-potenza,Italy,Apricena,Italy,1984-03-08,Centre-Back,Defender,right,185.0,,3000000.0,,,https://img.a.transfermarkt.technology/portrait/header/16828-1476880793.jpg?lm=1,https://www.transfermarkt.co.uk/alessandro-potenza/profil/spieler/16828,IT1,Catania FC
17292,,Joeano,Joeano,2013,2425,joeano,Brazil,Fortaleza,Brazil,1979-08-12,Centre-Forward,Attack,right,181.0,,1500000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_17292_2425_2014_01_30_1.jpg?lm=1,https://www.transfermarkt.co.uk/joeano/profil/spieler/17292,PO1,Rio Ave FC
17348,Steeve,Elana,Steeve Elana,2015,1082,steeve-elana,France,Aubervilliers,Martinique,1980-07-11,Goalkeeper,Goalkeeper,right,187.0,,3000000.0,,,https://img.a.transfermarkt.technology/portrait/header/17348-1448525922.jpg?lm=1,https://www.transfermarkt.co.uk/steeve-elana/profil/spieler/17348,FR1,LOSC Lille
17441,Julien,Sablé,Julien Sablé,2013,595,julien-sable,France,Marseille,France,1980-09-11,Defensive Midfield,Midfield,right,181.0,,3500000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_17441_595_2012_2.jpg?lm=1,https://www.transfermarkt.co.uk/julien-sable/profil/spieler/17441,FR1,SC Bastia
17592,Pawel,Kieszek,Pawel Kieszek,2020,2425,pawel-kieszek,Poland,Warszawa,Poland,1984-04-16,Goalkeeper,Goalkeeper,right,187.0,,1750000.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/17592-1446135604.jpg?lm=1,https://www.transfermarkt.co.uk/pawel-kieszek/profil/spieler/17592,PO1,Rio Ave FC
18021,Paul,Verhaegh,Paul Verhaegh,2019,317,paul-verhaegh,Netherlands,Sevenum,Netherlands,1983-09-01,Right-Back,Defender,right,178.0,,2250000.0,,,https://img.a.transfermarkt.technology/portrait/header/18021-1532334533.jpg?lm=1,https://www.transfermarkt.co.uk/paul-verhaegh/profil/spieler/18021,NL1,Twente Enschede FC
18324,Zoltán,Gera,Zoltán Gera,2013,984,zoltan-gera,Hungary,Pécs,Hungary,1979-04-22,Central Midfield,Midfield,both,183.0,,4500000.0,,Vladan Filipovic,https://img.a.transfermarkt.technology/portrait/header/18324-1464960485.jpg?lm=1,https://www.transfermarkt.co.uk/zoltan-gera/profil/spieler/18324,GB1,West Bromwich Albion
18922,Karim,Benzema,Karim Benzema,2022,418,karim-benzema,France,Lyon,France,1987-12-19,Centre-Forward,Attack,right,185.0,25000000.0,60000000.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/18922-1653042225.jpg?lm=1,https://www.transfermarkt.co.uk/karim-benzema/profil/spieler/18922,ES1,Real Madrid
19045,David,Sauget,David Sauget,2013,750,david-sauget,France,Champagnole,France,1979-11-23,Left-Back,Defender,right,175.0,,2500000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_19045_750_2012_1.jpg?lm=1,https://www.transfermarkt.co.uk/david-sauget/profil/spieler/19045,FR1,FC Sochaux-Montbéliard
19059,Heurelho,Gomes,Heurelho Gomes,2019,1010,heurelho-gomes,Brazil,João Pinheiro,Brazil,1981-02-15,Goalkeeper,Goalkeeper,right,191.0,,10000000.0,,Velop4 Sports Ltd.,https://img.a.transfermarkt.technology/portrait/header/19059-1578326011.jpg?lm=1,https://www.transfermarkt.co.uk/heurelho-gomes/profil/spieler/19059,GB1,Watford FC
19342,Ronald,Graafland,Ronald Graafland,2014,234,ronald-graafland,Netherlands,Rotterdam,Netherlands,1979-04-30,Goalkeeper,Goalkeeper,left,190.0,,600000.0,,,https://img.a.transfermarkt.technology/portrait/header/s_19342_234_2012_2.jpg?lm=1,https://www.transfermarkt.co.uk/ronald-graafland/profil/spieler/19342,NL1,Feyenoord Rotterdam
20854,Lasse,Kryger,Lasse Kryger,2018,2414,lasse-kryger,Denmark,Odense,Denmark,1982-11-03,Right Midfield,Midfield,right,188.0,,500000.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/lasse-kryger/profil/spieler/20854,DK1,AC Horsens
20887,Dimitrios,Kontodimos,Dimitrios Kontodimos,2012,5219,dimitrios-kontodimos,Greece,Larisa,Greece,1982-04-21,Left-Back,Defender,,,,700000.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/dimitrios-kontodimos/profil/spieler/20887,GR1,AOK Kerkyra
20913,Giuseppe,Biava,Giuseppe Biava,2014,800,giuseppe-biava,Italy,Seriate,Italy,1977-05-08,Centre-Back,Defender,right,180.0,,2500000.0,,,https://img.a.transfermarkt.technology/portrait/header/20913-1419345817.jpg?lm=1,https://www.transfermarkt.co.uk/giuseppe-biava/profil/spieler/20913,IT1,Atalanta BC
